area/volume,h_range_max_koe,Tc,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,sphericity,max/min,core_b,core_alpha,core_beta,core_gamma,shell_b,shell_alpha,shell_beta,shell_gamma,num_of_magn_ions,Tn-Tb/Tn,Aex,core_c/a,core_pauling_electronegativity,shell_pauling_electronegativity,core_sum_vec,core_sum_work_function,shell_sum_vec,shell_sum_work_function,core_pauling_electronegativity_difference,core_vec_difference,core_work_function_difference,shell_pauling_electronegativity_difference,shell_vec_difference,shell_work_function_difference,core,shell,formula
0.232558,60,577,2,48.75,453.4,21.963,64.764,0,2.8,1,4,1,1,5.168555,33.70825,33.70825,33.70825,3.788512,90,90,90,0.375,0.78692,76.15127,1,280.6667,279.6,533.3333,144.3333,680,188,3.191218,1.767767,14.14214,2.820943,1.440876,12.24745,TiO2,Fe2O3,TiO2-Fe2O3
0.232558,40,577,10,50.3,415,17.09,5,1,0,1,0,1,1,5.168555,33.70825,33.70825,33.70825,3.788512,90,90,90,0.375,0.77057,76.15127,1,280.6667,279.6,533.3333,144.3333,680,188,3.191218,1.767767,14.14214,2.820943,1.440876,12.24745,TiO2,Fe2O3,TiO2-Fe2O3
0.232558,40,577,10,50.275,429,19.818,49.725,0,2.546,1,1,1,1,5.168555,33.70825,33.70825,33.70825,3.788512,90,90,90,0.375,0.77057,76.15127,1,280.6667,279.6,533.3333,144.3333,680,188,3.191218,1.767767,14.14214,2.820943,1.440876,12.24745,TiO2,Fe2O3,TiO2-Fe2O3
0.232558,60,577,10,48.91,421.24,19.4,41.96,0,2.4,1,3,1,1,5.168555,33.70825,33.70825,33.70825,3.788512,90,90,90,0.375,0.802215,76.15127,1,280.6667,279.6,533.3333,144.3333,680,188,3.191218,1.767767,14.14214,2.820943,1.440876,12.24745,TiO2,Fe2O3,TiO2-Fe2O3
0.232558,40,577,100,51,55.122,3.195,2.42,1,0,1,0,1,1,5.168555,33.70825,33.70825,33.70825,3.788512,90,90,90,0.375,0.77057,76.15127,1,280.6667,279.6,533.3333,144.3333,680,188,3.191218,1.767767,14.14214,2.820943,1.440876,12.24745,TiO2,Fe2O3,TiO2-Fe2O3
0.232558,40,577,100,48.85,53.78,3.345,2.42,1,0.1,0,1,1,1,5.168555,33.70825,33.70825,33.70825,3.788512,90,90,90,0.375,0.77057,76.15127,1,280.6667,279.6,533.3333,144.3333,680,188,3.191218,1.767767,14.14214,2.820943,1.440876,12.24745,TiO2,Fe2O3,TiO2-Fe2O3
0.232558,60,577,100,50.6,53,3.375,2.42,1,0.66,0,2,1,1,5.168555,33.70825,33.70825,33.70825,3.788512,90,90,90,0.375,0.802215,76.15127,1,280.6667,279.6,533.3333,144.3333,680,188,3.191218,1.767767,14.14214,2.820943,1.440876,12.24745,TiO2,Fe2O3,TiO2-Fe2O3
0.232558,40,577,300,52.5,20.115,1.442,1.355,1,0,1,0,1,1,5.168555,33.70825,33.70825,33.70825,3.788512,90,90,90,0.375,0.77057,76.15127,1,280.6667,279.6,533.3333,144.3333,680,188,3.191218,1.767767,14.14214,2.820943,1.440876,12.24745,TiO2,Fe2O3,TiO2-Fe2O3
0.232558,40,577,300,46.11,19.88,1.438,0.6585,0,0.139,0,1,1,1,5.168555,33.70825,33.70825,33.70825,3.788512,90,90,90,0.375,0.77057,76.15127,1,280.6667,279.6,533.3333,144.3333,680,188,3.191218,1.767767,14.14214,2.820943,1.440876,12.24745,TiO2,Fe2O3,TiO2-Fe2O3
0.232558,60,577,300,45.78,20.814,1.5775,0.659,0,0.0695,0,2,1,1,5.168555,33.70825,33.70825,33.70825,3.788512,90,90,90,0.375,0.802215,76.15127,1,280.6667,279.6,533.3333,144.3333,680,188,3.191218,1.767767,14.14214,2.820943,1.440876,12.24745,TiO2,Fe2O3,TiO2-Fe2O3
0.2,20,858,5,57,624.1,33.04,15,0,3.8,1,3,1,1,5.142692,74.87634,90,90,0,0,0,0,0.428571,0.862471,140.2505,1.708366,275,0,685.7143,201.4286,0,0,2.897249,1.443376,11.54701,0,-2.22E-16,0,Fe3O4,0,Fe3O4
0.178571,20,793,5,55,8336,43.5,52,0,2.15,1,3,1,1,5.187945,96.14845,102.081,89.75899,0,0,0,0,0.428571,0.740664,122.4097,1.199041,275.2857,0,691.4286,203.1429,0,0,2.882541,1.56043,11.55168,0,-2.22E-16,0,Fe13(CoO10)2,0,Co0.4Fe2.6O4
0.16129,20,793,5,51,10760,36.47,70,0,0,1,3,1,1,5.345989,105.2721,108.1214,89.63849,0,0,0,0,0.428571,0.745028,107.7258,1.087915,275.5,0,695.7143,204.4286,0,0,2.871474,1.637698,11.55415,0,-2.22E-16,0,Fe23Co7O40,0,Co0.7Fe2.3O4
0.15,20,789,5,45,14563,32.22,20,0,2.48,1,3,1,1,5.932914,120.4948,120.2024,89.39748,0,0,0,0,0.428571,0.552809,66.49346,1,275.7143,0,700,205.7143,0,0,2.860376,1.707469,11.55577,0,-2.22E-16,0,Fe2CoO4,0,CoFe2O4
0.166667,50,683,10,1.259,1219.58,0.0485,1219.58,0,0.0485,1,6.5,1,1,5.388094,122.2099,142.6878,47.91918,0,0,0,0,0.2,0.945568,121.0295,0.628658,243,0,520,94,0,0,3.403618,2.686808,19.49359,0,-2.22E-16,0,FeBiO3,0,BiFeO3
0.166667,50,683,130,0.8455,429.82,0.0105,1182,0,0.031,1,6.5,1,1,5.388094,122.2099,142.6878,47.91918,0,0,0,0,0.2,0.945568,121.0295,0.628658,243,0,520,94,0,0,3.403618,2.686808,19.49359,0,-2.22E-16,0,FeBiO3,0,BiFeO3
0.166667,50,683,300,0.646,1500,0.025,342.15,1,0.006,1,6.5,1,1,5.388094,122.2099,142.6878,47.91918,0,0,0,0,0.2,0.945568,121.0295,0.628658,243,0,520,94,0,0,3.403618,2.686808,19.49359,0,-2.22E-16,0,FeBiO3,0,BiFeO3
0.133333,30,800,10,63,3999.6,34.3,0.1,0,0,1,1.4,0.805996,1,3.070579,92.37295,92.37295,80.08855,0,0,0,0,1,0.596991,310.6425,1,184.5,0,830,479,0,0,0.124189,0.552118,0.287009,0,-2.22E-16,0,Fe7Co3,0,Fe0.7Co0.3
0.125,30,800,150,59.95,1299.65,28,399.95,1,0,1,1.4,0.805996,1,2.685097,90,90,97.23775,0,0,0,0,1,0.534161,227.4824,1.223711,184.5,0,830,479,0,0,0.124189,0.552118,0.287009,0,-2.22E-16,0,Fe7Co3,0,Fe0.7Co0.3
0.117647,30,800,300,55.4,849.7,22.25,49.9,1,0,1,1.2,0.805996,1,2.685097,90,90,97.23775,0,0,0,0,1,0.607227,227.4824,1.223711,184.5,0,830,479,0,0,0.124189,0.552118,0.287009,0,-2.22E-16,0,Fe7Co3,0,Fe0.7Co0.3
0.117647,30,800,300,90.95,799.65,21,0.05,1,0.43,1,2,0.805996,1,2.843446,90,90,90,0,0,0,0,1,0.616466,211.0116,1,185.5,0,850,485,0,0,0.134771,0.588235,0.309278,0,-2.22E-16,0,FeCo,0,Fe0.5Co0.5
0.133333,30,800,10,18.3,3999.65,21.6,0.05,1,0,1,1.4,0.805996,1,2.685097,90,90,97.23775,0,0,0,0,1,0.61568,227.4824,1.223711,186.5,0,870,491,0,0,0.122857,0.526733,0.279994,0,-2.22E-16,0,Fe3Co7,0,Fe0.3Co0.7
0.125,30,800,150,13,2299.75,18,99.95,1,0,1,1.4,0.805996,1,2.685097,90,90,97.23775,0,0,0,0,1,0.534161,227.4824,1.223711,186.5,0,870,491,0,0,0.122857,0.526733,0.279994,0,-2.22E-16,0,Fe3Co7,0,Fe0.3Co0.7
0.117647,30,800,300,10.85,1099.75,11.7,0.05,0,0,1,1.2,0.805996,1,2.693534,84,84,87.61887,0,0,0,0,1,0.64209,344.2897,1.111505,186.5,0,870,491,0,0,0.122857,0.526733,0.279994,0,-2.22E-16,0,Fe3Co7,0,Fe0.3Co0.7
