,c1,c2,c3,chemical_formula,coer_oe,crystal_structure,depth_nm,exc_bias_oe,fc_field_t,h_range_max_koe,id,length_d_nm,mr (emu/g),sat_em_g,shape,space_group_core,space_group_shell,structure,structure_,temperature_k,ver_shift_emu_g,width_nm,orig_c1,orig_c2,formula_combined
58,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",13.0,"cubic, cubic",,0.0,0.0,30.0,59,19.2,0.285,37.7,egg,fm-3m,fd-3m,FeO/Fe3O4,FeO/Fe3O4,210.0,0.0,17.3,FeO,Fe3O4,Fe1 O1 Fe3 O4
59,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",13.0,"cubic, cubic",,-2.5,5.0,30.0,60,19.2,0.294,37.7,egg,fm-3m,fd-3m,FeO/Fe3O4,FeO/Fe3O4,210.0,0.0,17.3,FeO,Fe3O4,Fe1 O1 Fe3 O4
60,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",521.0,"cubic, monoclinic",,0.0,0.0,30.0,61,19.2,3.095,37.0,egg,fm-3m,fd-3m,FeO/Fe3O4,FeO/Fe3O4,120.0,0.0,17.3,FeO,Fe3O4,Fe1 O1 Fe3 O4
61,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",560.0,"cubic, monoclinic",,-719.0,5.0,30.0,62,19.2,2.8,37.0,egg,fm-3m,fd-3m,FeO/Fe3O4,FeO/Fe3O4,120.0,3.99,17.3,FeO,Fe3O4,Fe1 O1 Fe3 O4
62,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",2202.0,"cubic, monoclinic",,0.0,0.0,30.0,63,19.2,5.149,32.9,egg,fm-3m,fd-3m,FeO/Fe3O4,FeO/Fe3O4,2.0,0.0,17.3,FeO,Fe3O4,Fe1 O1 Fe3 O4
63,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",3195.5,"cubic, monoclinic",,-2878.5,5.0,30.0,64,19.2,8.3485,33.6,egg,fm-3m,fd-3m,FeO/Fe3O4,FeO/Fe3O4,2.0,8.398,17.3,FeO,Fe3O4,Fe1 O1 Fe3 O4
64,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",628.5,"cubic, monoclinic",,0.0,0.0,30.0,65,19.2,13.33,54.8,egg,fm-3m,fd-3m,FeO/Fe3O4,FeO/Fe3O4,2.0,0.0,17.3,FeO,Fe3O4,Fe1 O1 Fe3 O4
65,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",767.0,"cubic, monoclinic",,-329.0,5.0,30.0,66,19.2,22.313,54.8,egg,fm-3m,fd-3m,FeO/Fe3O4,FeO/Fe3O4,2.0,9.188,17.3,FeO,Fe3O4,Fe1 O1 Fe3 O4
66,Ni1 O1,,,['NiO'],87.02,cubic,,0.0,0.0,15.0,67,34.4,2.65,0.18,rod,fm-3m,0,NiO,NiO,300.0,0.0,10.97,NiO,,Ni1 O1
67,Fe3 O4,,,['Fe3O4'],22.41,cubic,33.0,0.0,0.0,15.0,68,33.0,1.65,70.264,sphere,fd-3m,0,Fe3O4,Fe3O4,300.0,0.0,33.0,Fe3O4,,Fe3 O4
68,Fe3 O4,Ni1 O1,,"['Fe3O4', 'NiO']",37.09,"cube, cube",52.02,0.0,0.0,15.0,69,52.02,1.35,31.33,sphere,fm-3m,fd-3m,NiO/Fe3O4,NiO/Fe3O4,300.0,0.0,52.02,Fe3O4,NiO,Fe3 O4 Ni1 O1
69,Ni1 O1,Fe3 O4,,"['NiO', 'Fe3O4']",100.29,"cube, cube",31.75,0.0,0.0,15.0,70,31.75,2.16,40.03,sphere,fd-3m,fm-3m,Fe3O4/NiO,Fe3O4/NiO,300.0,0.0,31.75,NiO,Fe3O4,Ni1 O1 Fe3 O4
70,Fe3 O4,Ni1 O1,,"['Fe3O4', 'NiO']",95.69,"cube, cube",52.02,-329.43,,15.0,71,52.02,8.6,33.0,sphere,fm-3m,fd-3m,NiO/Fe3O4,NiO/Fe3O4,60.0,8.6,52.02,Fe3O4,NiO,Fe3 O4 Ni1 O1
71,Ni1 O1,Fe3 O4,,"['NiO', 'Fe3O4']",145.18,"cube, cube",31.75,145.18,,15.0,72,31.75,8.16,44.89,sphere,fd-3m,fm-3m,Fe3O4/NiO,Fe3O4/NiO,60.0,-8.16,31.75,NiO,Fe3O4,Ni1 O1 Fe3 O4
72,Fe4 Bi2 O9,Fe1 Bi1 O3,,"['Bi2Fe4O9', 'BiFeO3']",1300.0,trigonal,19.0,-1600.0,5.0,50.0,73,19.0,0.052,,flower,pbam,r3c,Bi2Fe4O9/BiFeO3,Bi2Fe4O9/BiFeO3,2.0,0.053,19.0,Bi2Fe4O9,BiFeO3,Fe4 Bi2 O9 Fe1 Bi1 O3
73,Fe1 Bi1 O3,Fe4 Bi2 O9,,"['BiFeO3', 'Bi2Fe4O9']",1225.0,"trigonal, orthorhombic",13.0,1825.0,5.0,50.0,74,13.0,0.046,,flower,r3c,pbam,BiFeO3/Bi2Fe4O9,BiFeO3/Bi2Fe4O9,2.0,0.054,13.0,BiFeO3,Bi2Fe4O9,Fe1 Bi1 O3 Fe4 Bi2 O9
74,Fe1 Bi1 O3,Fe4 Bi2 O9,,"['BiFeO3', 'Bi2Fe4O9']",900.0,"trigonal, orthorhombic",19.0,-1500.0,5.0,50.0,75,19.0,0.0365,,flower,r3c,pbam,BiFeO3/Bi2Fe4O9,BiFeO3/Bi2Fe4O9,2.0,0.058,19.0,BiFeO3,Bi2Fe4O9,Fe1 Bi1 O3 Fe4 Bi2 O9
75,Fe1 Bi1 O3,Fe4 Bi2 O9,,"['BiFeO3', 'Bi2Fe4O9']",750.0,"trigonal, orthorhombic",13.0,1650.0,5.0,50.0,76,13.0,0.049,,flower,r3c,pbam,BiFeO3/Bi2Fe4O9,BiFeO3/Bi2Fe4O9,2.0,0.061,13.0,BiFeO3,Bi2Fe4O9,Fe1 Bi1 O3 Fe4 Bi2 O9
76,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",449.38,"tetragonal, cubic",12.9,9.41,0.0,40.0,77,12.9,17.6,52.0,,p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,2.0,0.0,12.9,TiO2,Fe2O3,Ti1 O2 Fe2 O3
77,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",477.614,"tetragonal, cubic",12.9,-84.7,1.0,40.0,78,12.9,22.13,51.385,,p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,2.0,3.77,12.9,TiO2,Fe2O3,Ti1 O2 Fe2 O3
78,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",471.34,"tetragonal, cubic",12.9,-71.36,2.0,60.0,79,12.9,21.98,52.18,,p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,2.0,3.3,12.9,TiO2,Fe2O3,Ti1 O2 Fe2 O3
79,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",453.4,"tetragonal, cubic",12.9,-64.764,4.0,60.0,80,12.9,21.963,,,p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,2.0,2.8,12.9,TiO2,Fe2O3,Ti1 O2 Fe2 O3
80,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",415.0,"tetragonal, cubic",12.9,5.0,0.0,40.0,81,12.9,17.09,50.3,,p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,10.0,0.0,12.9,TiO2,Fe2O3,Ti1 O2 Fe2 O3
81,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",429.0,"tetragonal, cubic",12.9,-49.725,1.0,40.0,82,12.9,19.818,50.275,,p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,10.0,2.546,12.9,TiO2,Fe2O3,Ti1 O2 Fe2 O3
82,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",421.24,"tetragonal, cubic",12.9,-41.96,3.0,60.0,83,12.9,19.4,48.91,,p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,10.0,2.4,12.9,TiO2,Fe2O3,Ti1 O2 Fe2 O3
83,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",55.122,"tetragonal, cubic",12.9,2.42,0.0,40.0,84,12.9,3.195,51.0,,p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,100.0,0.0,12.9,TiO2,Fe2O3,Ti1 O2 Fe2 O3
84,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",53.78,"tetragonal, cubic",12.9,2.42,1.0,40.0,85,12.9,3.345,48.85,,p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,100.0,-0.1,12.9,TiO2,Fe2O3,Ti1 O2 Fe2 O3
85,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",53.0,"tetragonal, cubic",12.9,2.42,2.0,60.0,86,12.9,3.375,50.6,,p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,100.0,-0.66,12.9,TiO2,Fe2O3,Ti1 O2 Fe2 O3
86,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",20.115,"tetragonal, cubic",12.9,1.355,0.0,40.0,87,12.9,1.442,52.5,,p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,300.0,0.0,12.9,TiO2,Fe2O3,Ti1 O2 Fe2 O3
87,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",19.88,"tetragonal, cubic",12.9,-0.6585,1.0,40.0,88,12.9,1.438,46.11,,p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,300.0,-0.139,12.9,TiO2,Fe2O3,Ti1 O2 Fe2 O3
88,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",20.814,"tetragonal, cubic",12.9,-0.659,2.0,60.0,89,12.9,1.5775,45.78,,p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,300.0,-0.0695,12.9,TiO2,Fe2O3,Ti1 O2 Fe2 O3
89,Fe3 O4,,,['Fe3O4'],624.1,cube,15.0,-15.0,3.0,20.0,90,15.0,33.04,57.0,sphere,fd-3m,0,Fe3O4,Fe3O4,5.0,3.8,15.0,Fe3O4,,Fe3 O4
