,volume,area,c1,c2,c3,chemical_formula,crystal_structure,z,id,space_group_shell,formula_combined,coer_oe,exc_bias_oe,fc_field_t,h_range_max_koe,y,mr (emu/g),sat_em_g,shape,space_group_core,temperature_k,ver_shift_emu_g,x,mass_ratio,sphericity,max/min,exc_dir,ver_s_dir
75,9202.764306666666,2123.71484,Fe1 Bi1 O3,Fe4 Bi2 O9,,"['BiFeO3', 'Bi2Fe4O9']",25,13.0,76,55,Fe5 Bi3 O12,750.0,1650.0,5.0,50.0,13.000000000000009,0.0489999999999994,43.278,1.0,161.0,2.0,0.0609999999999999,13.0,26,1.00000028155478,1,1,1
76,8992.02226068,2091.1679676,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",22,12.9,77,213,Ti1 Fe2 O5,449.3800000000001,9.409999999999968,0.0,40.0,12.9,17.6,52.0,1.0,136.0,2.0,0.0,12.9,22,1.0000002815547802,1,1,1
77,8992.02226068,2091.1679676,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",22,12.9,78,213,Ti1 Fe2 O5,477.614,84.70000000000005,1.0,40.0,12.9,22.13,51.385,1.0,136.0,2.0,3.77,12.9,22,1.0000002815547802,1,0,1
78,8992.02226068,2091.1679676,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",22,12.9,79,213,Ti1 Fe2 O5,471.34000000000015,71.36000000000001,2.0,60.0,12.9,21.98,52.18,1.0,136.0,2.0,3.3,12.9,22,1.0000002815547802,1,0,1
79,8992.02226068,2091.1679676,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",22,12.9,80,213,Ti1 Fe2 O5,453.4000000000001,64.76400000000001,4.0,60.0,12.9,21.963,60.513,1.0,136.0,2.0,2.8,12.9,22,1.0000002815547802,1,0,1
80,8992.02226068,2091.1679676,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",22,12.9,81,213,Ti1 Fe2 O5,415.0,5.0,0.0,40.0,12.9,17.09,50.3,1.0,136.0,10.0,0.0,12.9,22,1.0000002815547802,1,1,1
81,8992.02226068,2091.1679676,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",22,12.9,82,213,Ti1 Fe2 O5,429.0,49.72500000000002,1.0,40.0,12.9,19.818,50.275,1.0,136.0,10.0,2.546,12.9,22,1.0000002815547802,1,0,1
82,8992.02226068,2091.1679676,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",22,12.9,83,213,Ti1 Fe2 O5,421.2400000000002,41.96000000000004,3.0,60.0,12.9,19.4,48.91,1.0,136.0,10.0,2.4,12.9,22,1.0000002815547802,1,0,1
83,8992.02226068,2091.1679676,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",22,12.9,84,213,Ti1 Fe2 O5,55.12199999999984,2.419999999999959,0.0,40.0,12.9,3.1950000000000003,51.0,1.0,136.0,100.0,0.0,12.9,22,1.0000002815547802,1,1,1
84,8992.02226068,2091.1679676,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']",22,12.9,85,213,Ti1 Fe2 O5,53.7800000000002,2.419999999999959,1.0,40.0,12.9,3.3450000000000006,48.85,1.0,136.0,100.0,0.1,12.9,22,1.0000002815547802,1,1,0
